상권명,상권유형,업종,20254_전체점포수,20254_개업수,20254_폐업수,20254실제,20261실제,20261예측,오차
서울프랑스학교,골목상권,한식음식점,3,0,0,0,0.0,2.71,2.71
서원동주민센터(신관중학교),골목상권,한식음식점,12,0,1,8,9.0,3.86,-5.14
서일대학교,골목상권,한식음식점,22,0,1,5,5.0,4.46,-0.54
서초동성당,골목상권,한식음식점,5,0,0,0,0.0,3.12,3.12
서초소방서,골목상권,한식음식점,1,0,0,0,0.0,2.01,2.01
서초우방유쉘아파트,골목상권,한식음식점,2,0,0,0,0.0,2.42,2.42
서초중학교,골목상권,한식음식점,10,0,1,10,0.0,3.67,3.67
석계역 1번,골목상권,한식음식점,45,0,0,0,0.0,5.2,5.2
석계역 2번,골목상권,한식음식점,24,0,3,13,0.0,4.48,4.48
석계역 7번,골목상권,한식음식점,76,2,3,4,1.0,5.82,4.82
석관고등학교,골목상권,한식음식점,11,0,0,0,0.0,3.83,3.83
석관중앙교회,골목상권,한식음식점,19,2,3,16,5.0,4.68,-0.32
석수역 1번 출입구,골목상권,한식음식점,17,1,1,6,0.0,4.45,4.45
석촌고분역 1번,골목상권,한식음식점,38,0,0,0,0.0,5.03,5.03
석촌고분역 3번,골목상권,한식음식점,17,1,0,0,6.0,4.48,-1.52
석촌고분역 4번,골목상권,한식음식점,14,2,0,0,0.0,4.63,4.63
석촌역 3번,골목상권,한식음식점,24,5,3,13,4.0,5.33,1.33
석촌역 6번,골목상권,한식음식점,28,1,3,11,8.0,4.81,-3.19
석촌역 7번,골목상권,한식음식점,72,1,1,1,1.0,5.7,4.7
석촌중학교(방이육교),골목상권,한식음식점,4,0,1,25,100.0,2.76,-97.24
선사초등학교,골목상권,한식음식점,4,0,0,0,25.0,2.94,-22.06
선유도역 1번,골목상권,한식음식점,54,0,0,0,0.0,5.38,5.38
선유도역 6번,골목상권,한식음식점,29,0,0,0,0.0,4.77,4.77
선일여고,골목상권,한식음식점,10,0,0,0,0.0,3.74,3.74
선정릉역 4번,골목상권,한식음식점,8,0,1,13,0.0,3.44,3.44
선정중학교,골목상권,한식음식점,5,1,5,100,0.0,3.21,3.21
성곡미술관,골목상권,한식음식점,13,0,0,0,8.0,3.99,-4.01
성균관대학교,골목상권,한식음식점,19,0,1,5,0.0,4.32,4.32
성남고등학교,골목상권,한식음식점,8,0,0,0,0.0,3.55,3.55
성내중학교,골목상권,한식음식점,5,0,0,0,0.0,3.12,3.12
성내천어린이공원(하니사랑길),골목상권,한식음식점,17,0,0,0,0.0,4.25,4.25
성동구립금호도서관,골목상권,한식음식점,3,0,0,0,0.0,2.73,2.73
성동구보건소,골목상권,한식음식점,10,1,1,10,0.0,4.07,4.07
성동세무서,골목상권,한식음식점,15,1,1,7,7.0,4.36,-2.64
성동초등학교,골목상권,한식음식점,12,0,0,0,0.0,3.91,3.91
성미산체육관,골목상권,한식음식점,12,0,0,0,0.0,3.91,3.91
성북초등학교앞,골목상권,한식음식점,8,0,1,13,14.0,3.44,-10.56
성산중학교,골목상권,한식음식점,22,1,1,5,0.0,4.66,4.66
성서초등학교,골목상권,한식음식점,17,0,0,0,6.0,4.25,-1.75
성수119안전센터,골목상권,한식음식점,35,3,1,3,3.0,5.29,2.29
성수1가1동주민센터,골목상권,한식음식점,7,0,1,14,0.0,3.31,3.31
성수2가3동주민센터,골목상권,한식음식점,5,0,0,0,0.0,3.12,3.12
성수동카페거리,골목상권,한식음식점,62,4,0,0,3.0,5.8,2.8
성수초등학교,골목상권,한식음식점,61,2,2,3,0.0,5.6,5.6
성신여대운정그린캠퍼스,골목상권,한식음식점,49,2,0,0,4.0,5.44,1.44
성신여대입구역 1번,골목상권,한식음식점,9,0,2,22,0.0,3.49,3.49
성신여대입구역 4번,골목상권,한식음식점,10,1,1,10,25.0,4.07,-20.93
성신여대입구역 7번,골목상권,한식음식점,13,0,0,0,0.0,3.99,3.99
성심여자고등학교,골목상권,한식음식점,18,2,0,0,6.0,4.74,-1.26
성원어린이공원,골목상권,한식음식점,13,1,0,0,7.0,4.32,-2.68
